filename,duration,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfccs_mean1,mfccs_var1,mfccs_mean2,mfccs_var2,mfccs_mean3,mfccs_var3,mfccs_mean4,mfccs_var4,mfccs_mean5,mfccs_var5,mfccs_mean6,mfccs_var6,mfccs_mean7,mfccs_var7,mfccs_mean8,mfccs_var8,mfccs_mean9,mfccs_var9,mfccs_mean10,mfccs_var10,mfccs_mean11,mfccs_var11,mfccs_mean12,mfccs_var12,mfccs_mean13,mfccs_var13,mfccs_mean14,mfccs_var14,mfccs_mean15,mfccs_var15,mfccs_mean16,mfccs_var16,mfccs_mean17,mfccs_var17,mfccs_mean18,mfccs_var18,mfccs_mean19,mfccs_var19,mfccs_mean20,mfccs_var20
.\wav-Data\Rock\Rock\(Let Me Be ) Your Teddy Bear.wav,112.61678004535148,0.3908963203430176,0.09041588008403778,0.12154321372509003,0.004000023473054171,595.3634397604554,83938.36253621028,691.0642963397585,175164.31023836564,1111.6077769886363,526205.2160353701,0.03685310535198928,0.00223771587333054,-2.2751498818252003e-06,0.01448430772870779,-6.209946150192991e-05,0.001286944723688066,86.1328125,-287.0083923339844,10021.642578125,198.68307495117188,4545.94287109375,-5.190980911254883,257.3659362792969,4.160682678222656,141.33840942382812,15.503645896911621,160.4517364501953,-6.792840003967285,108.95098876953125,-1.2761584520339966,79.90888214111328,1.2407193183898926,108.20931243896484,-7.212301731109619,88.0688247680664,-9.173794746398926,116.10103607177734,-5.652918338775635,79.13668060302734,-0.8217934370040894,52.84654235839844,1.2848647832870483,59.01814651489258,-2.340832233428955,43.80555725097656,-4.85196590423584,46.200191497802734,-5.0808610916137695,52.838809967041016,-6.179478168487549,44.5831184387207,-5.051700592041016,87.89485931396484,-0.6401506066322327,83.49958801269531,-0.5585964918136597,57.96939468383789
.\wav-Data\Rock\Rock\1 Lugar Ao Sol.wav,230.98049886621314,0.3299877345561981,0.13432097434997559,0.05326210707426071,0.004199967719614506,859.7110494387575,573000.803764904,987.9384546348477,950020.7061177797,1793.767986596709,4125996.5786422626,0.09579427279666768,0.018427550825109558,-9.460160072194412e-06,0.006468393374234438,3.49060815096891e-06,0.00014471563918050379,54.978390957446805,-427.4479675292969,13834.03125,96.43582916259766,6684.994140625,2.8432819843292236,197.86074829101562,5.77895975112915,131.66131591796875,6.205590724945068,89.8321304321289,-8.475200653076172,111.93815612792969,-8.509366035461426,119.71029663085938,-8.702275276184082,108.72615051269531,-13.126401901245117,207.94557189941406,-13.442381858825684,193.74017333984375,-10.806084632873535,123.65402221679688,-8.477121353149414,132.61549377441406,-6.390335559844971,108.43225860595703,-5.168550491333008,101.06178283691406,-5.223743438720703,109.6021957397461,-4.611541748046875,96.96043395996094,-3.9289894104003906,96.87932586669922,-4.711102485656738,94.99325561523438,-6.527785301208496,152.94732666015625,-8.084942817687988,187.76087951660156
.\wav-Data\Rock\Rock\A Rush Of Blood To The Head.wav,265.13705215419503,0.25054290890693665,0.11962822079658508,0.023479003459215164,0.0002714039583224803,601.5900764676712,90361.28565656117,554.4792285657277,146888.53802649007,895.7842671753218,517420.84392218885,0.04409074069259567,0.0014062193389525685,-6.030084477970377e-06,0.0007753254030831158,-6.6637903728405945e-06,1.3012634553888347e-05,143.5546875,-492.1723327636719,6878.87353515625,135.30368041992188,3572.021484375,18.475540161132812,299.1338806152344,-2.2634174823760986,149.81451416015625,-2.6204850673675537,87.4457778930664,-14.98604679107666,87.18632507324219,-17.874746322631836,104.94552612304688,-15.215553283691406,92.28141784667969,-15.561822891235352,112.43585205078125,-16.51568603515625,157.68389892578125,-13.226757049560547,158.34678649902344,-7.209266185760498,95.10868072509766,-5.216861248016357,124.90711975097656,-5.709710597991943,155.74026489257812,-2.4012463092803955,154.02615356445312,-0.4304993450641632,93.25428009033203,-0.6765360832214355,109.57518005371094,0.23335891962051392,160.93020629882812,0.29080918431282043,162.87452697753906,0.814528226852417,124.0775146484375
.\wav-Data\Rock\Rock\A Teenager In Love.wav,159.06829931972788,0.37285470962524414,0.12462949752807617,0.11185828596353531,0.00425604498013854,538.9159718688092,79080.33987174658,590.625486557765,129117.06517179763,919.0616882172767,353367.41509039316,0.03283750205262006,0.000962219615434501,-5.2190080168657005e-06,0.014399291947484016,-4.262462607584894e-05,0.0010194084607064724,161.4990234375,-320.2777099609375,15912.7392578125,174.26773071289062,6622.4482421875,-10.580398559570312,287.439208984375,11.377352714538574,180.94586181640625,8.433817863464355,116.75215911865234,-10.192511558532715,85.52470397949219,-3.2069549560546875,49.95008850097656,-6.7347002029418945,62.36521530151367,-12.376401901245117,88.87264251708984,-13.696758270263672,86.14663696289062,-8.60549259185791,73.65177917480469,-4.322547435760498,51.81585693359375,-5.381606578826904,49.10166931152344,-6.432198524475098,43.28718566894531,-6.078138828277588,33.4365119934082,-4.867921829223633,37.63300704956055,-4.815717697143555,46.06203842163086,-1.7699280977249146,80.42205810546875,0.739717423915863,53.04854965209961,-2.88674259185791,92.74053192138672
.\wav-Data\Rock\Rock\A Thousand Miles (Interlude).wav,245.10984126984127,0.29415374994277954,0.13503806293010712,0.10980824381113052,0.006289373151957989,663.19014211787,136692.1518764417,731.1628117425424,204143.5640745824,1092.9523282648656,676100.8354679964,0.039681072836743395,0.0015275694789313088,-5.45182319910964e-06,0.01679176278412342,2.0926195247739088e-06,0.0005012443289160728,129.19921875,-339.9816589355469,14512.3515625,128.5198974609375,4558.01904296875,-5.662288665771484,312.0799560546875,15.005492210388184,218.50440979003906,-1.6296348571777344,123.49781799316406,-12.853821754455566,113.34677124023438,-7.808619976043701,81.85440063476562,-8.086685180664062,75.3633804321289,-12.611278533935547,115.28284454345703,-16.602230072021484,135.853515625,-12.089582443237305,123.25909423828125,-6.918725490570068,88.43826293945312,-4.94042444229126,104.70928955078125,-3.8665826320648193,86.52141571044922,-0.9374825954437256,140.6118621826172,-0.05141730606555939,119.90988159179688,1.058384656906128,90.49323272705078,-0.2610369026660919,101.66693878173828,-2.84346342086792,119.13789367675781,0.2977686822414398,151.364013671875
.\wav-Data\Rock\Rock\A Thousand Miles.wav,123.01931972789116,0.2416168749332428,0.11200004070997238,0.04725541174411774,0.0008627591305412352,661.5741905671075,132213.56015352203,687.5118700487966,208097.09004665862,1117.706935786823,829905.5238596019,0.0453069528153897,0.003122466188489899,-4.0385848478763364e-06,0.0028921582270413637,-9.080095878744032e-06,6.878645217511803e-05,92.28515625,-415.35186767578125,8369.75390625,139.9710235595703,3786.68505859375,3.266777276992798,221.6333770751953,5.908512115478516,105.35588073730469,8.017667770385742,115.04014587402344,-10.989611625671387,92.91141510009766,-7.105316162109375,70.56668090820312,-5.589064598083496,91.49754333496094,-13.030099868774414,96.76715850830078,-15.416635513305664,91.40704345703125,-10.45208740234375,88.5206298828125,-6.2096710205078125,87.94517517089844,-6.623894214630127,104.55375671386719,-6.563572406768799,96.36363220214844,-6.406682014465332,128.9091339111328,-6.871362686157227,107.87416076660156,-3.693842649459839,75.91676330566406,-1.6906746625900269,92.71919250488281,-4.773326873779297,107.46534729003906,-3.5678224563598633,163.78250122070312
.\wav-Data\Rock\Rock\All Summer Long (Album Version).wav,310.6946031746032,0.2983176112174988,0.11175327748060226,0.08441891521215439,0.004182274919003248,744.6007572404745,195051.8382495417,838.6264962199813,377028.5511790006,1398.0465520578387,1313335.3515459518,0.06675057567633211,0.007902905451755145,-3.833071332337568e-06,0.009567189030349255,4.0119099139701575e-05,0.0006427703774534166,198.76802884615384,-347.960693359375,14231.6123046875,156.64942932128906,5428.99853515625,-8.704994201660156,390.64068603515625,7.546716213226318,227.94552612304688,12.982892990112305,140.0409698486328,-5.014678001403809,87.31636047363281,-3.392886161804199,72.5076675415039,-5.605338096618652,39.765708923339844,-12.065408706665039,86.73927307128906,-11.61293888092041,79.56873321533203,-8.399909019470215,63.56617736816406,-5.0321784019470215,47.908843994140625,-2.6190738677978516,46.65604782104492,-4.689857482910156,33.91259002685547,-4.318126201629639,57.94447326660156,-4.993098735809326,100.27835845947266,-9.08397102355957,118.72886657714844,-6.241175651550293,188.0808563232422,2.0874874591827393,200.539794921875,1.1381337642669678,90.21295928955078
.\wav-Data\Rock\Rock\Always on My Mind.wav,273.42657596371885,0.2655870020389557,0.09223766624927521,0.0637112408876419,0.0015023963060230017,560.9677880283728,26151.457440596216,569.4061455222502,30066.36224875686,928.2289857449739,142108.49758143918,0.03381666929825493,0.00014647213816072508,-1.2100642834411701e-06,0.0050962138921022415,-1.2187600987090264e-05,0.00011743020877474919,54.978390957446805,-371.5099792480469,5387.70703125,179.48269653320312,1716.6279296875,5.941855430603027,349.0190124511719,3.5870249271392822,127.2652359008789,16.84060287475586,123.83328247070312,-5.6663007736206055,103.57525634765625,-9.604998588562012,87.87637329101562,-7.3905720710754395,73.31470489501953,-14.408305168151855,96.74224090576172,-19.411569595336914,85.73460388183594,-15.460570335388184,132.39462280273438,-9.108075141906738,82.22547912597656,-7.958329677581787,73.06819915771484,-10.2136869430542,68.63118743896484,-8.6581449508667,106.6218490600586,-5.501428127288818,106.20559692382812,-2.8152048587799072,104.83417510986328,2.695960283279419,90.93794250488281,3.8170735836029053,158.82574462890625,-2.18171763420105,120.4482421875
.\wav-Data\Rock\Rock\Apologize.wav,272.43972789115645,0.3548455238342285,0.14848986268043518,0.02863639034330845,0.0010270909406244755,503.4649301144875,107231.94647882754,531.3811883916252,157621.86327976617,807.7713015296094,480473.6533579185,0.031951295713844384,0.0011613672104671263,-1.0240471965516917e-05,0.001699462067335844,-7.3129681368300226e-06,3.7580372008960694e-05,117.45383522727273,-468.1381530761719,9875.6875,105.67811584472656,4616.1845703125,8.193110466003418,229.66546630859375,3.552168130874634,147.0304718017578,4.248417854309082,124.85336303710938,-9.696833610534668,111.96814727783203,-11.835984230041504,127.76686096191406,-11.691499710083008,105.38092041015625,-16.86079216003418,172.76226806640625,-19.021190643310547,176.7290496826172,-13.904694557189941,128.9338836669922,-8.604244232177734,105.14083099365234,-7.793069362640381,73.10452270507812,-8.921289443969727,81.11959838867188,-8.128461837768555,99.13565063476562,-5.824367046356201,95.84403228759766,-3.543663740158081,89.12144470214844,-1.9757182598114014,102.91637420654297,-3.2719626426696777,135.14234924316406,-5.808852195739746,133.13856506347656
.\wav-Data\Rock\Rock\At The Hop.wav,153.0078911564626,0.318025678396225,0.08308050781488419,0.13362179696559906,0.0009944784687831998,633.8376194465844,23754.7965742187,720.5656304541817,52429.317458109464,1060.5412957013468,139184.48605033048,0.037775112030538696,0.0006881303811288456,-5.48232435448881e-07,0.016836952418088913,-3.193458542227745e-05,0.00041062646778300405,95.703125,-247.8226318359375,2905.9599609375,209.95889282226562,1038.6448974609375,-10.077587127685547,121.0095443725586,11.641319274902344,60.521297454833984,12.310593605041504,126.52265167236328,-12.081912994384766,44.51237487792969,-4.749574661254883,46.13248825073242,-2.3662402629852295,45.550113677978516,-9.036252975463867,56.308837890625,-12.573822021484375,129.96612548828125,-11.870193481445312,105.61168670654297,-4.2650041580200195,51.473506927490234,2.336663246154785,36.62470626831055,-2.1097612380981445,45.615447998046875,-1.6015633344650269,62.8436164855957,-1.6096330881118774,52.775978088378906,-4.971648216247559,34.65021514892578,0.5143598318099976,31.146860122680664,0.5318796634674072,37.7628288269043,-4.4476542472839355,50.00014877319336
.\wav-Data\Rock\Rock\Atlantic.wav,283.3414965986395,0.25664791464805603,0.08382126688957214,0.12875953316688538,0.001978703774511814,574.2964746347155,13928.228384171638,615.0725045403927,19493.422366774626,970.0423027700668,67337.05275391493,0.034230464268520035,0.0002499533851458905,-4.3519983705664345e-07,0.015311329625546932,-2.020195097429678e-05,0.000673214322887361,63.02400914634146,-275.2381286621094,3485.723876953125,210.6072235107422,1200.70654296875,-4.494640350341797,229.14816284179688,11.452890396118164,123.63890075683594,15.313572883605957,86.21965026855469,-12.456657409667969,99.380859375,-1.661086916923523,47.783382415771484,-2.7068397998809814,50.62816619873047,-14.998897552490234,72.27056121826172,-18.229415893554688,90.02056884765625,-13.373481750488281,53.453514099121094,-7.935225963592529,69.7701187133789,-7.642572402954102,46.424835205078125,-7.76460599899292,49.19325256347656,-6.457129001617432,49.10148239135742,-7.652074337005615,49.0113410949707,-8.71701717376709,45.548221588134766,-4.9230804443359375,55.66331100463867,-4.117864608764648,62.538612365722656,-5.923201560974121,76.08245849609375
.\wav-Data\Rock\Rock\Beauty School Dropout.wav,227.0098866213152,0.29040294885635376,0.11885137856006622,0.10025344043970108,0.005156183149665594,759.8584695035801,129459.64231117042,717.1223466607275,169786.27174889596,1186.4184847489644,633963.9620754804,0.050641462824102486,0.0016879085747440589,-3.5672403555508936e-06,0.013722584582865238,3.125100556644611e-05,0.00045432656770572066,117.45383522727273,-316.2411193847656,9643.7626953125,139.03750610351562,3686.567626953125,-2.160097360610962,382.52911376953125,-3.193045139312744,141.11280822753906,-9.876269340515137,174.0428009033203,-20.811283111572266,216.30604553222656,-13.987056732177734,105.12351989746094,-9.304691314697266,86.46540069580078,-5.4799723625183105,116.28343200683594,-1.7948359251022339,154.66653442382812,-0.80802983045578,133.56312561035156,1.7131555080413818,161.01670837402344,2.1659300327301025,112.92648315429688,-1.124192714691162,62.9319953918457,0.5479180812835693,92.45428466796875,-0.41258418560028076,102.27507781982422,-2.486255645751953,95.83055877685547,-0.5144181251525879,66.40372467041016,-3.2458977699279785,76.62557983398438,-7.62286901473999,91.84766387939453
.\wav-Data\Rock\Rock\Bend  Break - Lamacq Live.wav,214.7845804988662,0.2810830771923065,0.09057442843914032,0.14207923412322998,0.0019778532441705465,615.8284627598189,18490.106019240025,671.4876388272062,27234.448804468495,1038.7995665375702,93075.19666399246,0.03615107488379635,0.00023510749782897766,-3.848924450267077e-07,0.020728595554828644,-2.4262722945422865e-05,0.0003147278621327132,135.99917763157896,-257.0154724121094,3132.533447265625,204.292236328125,999.1911010742188,-10.199135780334473,154.5319366455078,10.943495750427246,101.38319396972656,16.708181381225586,111.29360961914062,-10.453737258911133,64.1038589477539,-6.460816860198975,52.865055084228516,-4.444632053375244,52.405277252197266,-9.259856224060059,64.6414566040039,-11.130642890930176,122.0868148803711,-8.095865249633789,96.11133575439453,-4.059428691864014,60.2635383605957,-5.10811185836792,81.59705352783203,-5.6893534660339355,64.11145782470703,-2.5284669399261475,80.55258178710938,-5.572543144226074,136.132080078125,-3.5624632835388184,131.9762725830078,2.30615234375,69.85992431640625,-2.974388837814331,58.362205505371094,-6.317244529724121,131.16494750976562
